movie,year,genre,youtube_title,youtube_url
Amrutham Chandamama Lo,2014.0,"Adventure, Comedy, Fantasy            ","Amrutham - Chandamama Lo Theatrical Trailer HD- Srinivas Avasarala, Dhanya Balakrishna",https://www.youtube.com/watch?v=V-aiqUuRygY
1 - Nenokkadine,2014.0,"Action, Thriller            ",1: Nenokkadine Re Release Trailer 4K | Mahesh Babu | Kriti Sanon | Gautham | Sukumar | DSP,https://www.youtube.com/watch?v=lDRQTXITeiQ
Anukshanam,2014.0,"Crime, Thriller            ","Anukshanam Theatrical MovieTrailer - RGV, Manchu Vishnu, Navadeep",https://www.youtube.com/watch?v=lLzQ18RguSg
Rowdy,2014.0,"Action, Crime, Drama            ",Rowdy Movie Official Theatrical Trailer - Mohan Babu | Manchu Vishnu | Shanvi | Jaya Sudha,https://www.youtube.com/watch?v=NMutRnEmKyg
Oohalu Gusagusalade,2014.0,"Comedy, Romance            ","Oohalu Gusagusalaade Trailer | Raashi Khanna, Naga Shaurya | Srinivas Avasarala | Watch on aha",https://www.youtube.com/watch?v=X_ixtYx2HHM
Race Gurram,2014.0,"Action, Comedy            ","Race Gurram Theatrical Trailer HD - Allu Arjun, Shruti Haasan",https://www.youtube.com/watch?v=Ete2JvsT5Nc
Pandavulu Pandavulu Thummeda,2014.0,Comedy            ,Pandavulu Pandavulu Thummeda theatrical trailer - idlebrain.com,https://www.youtube.com/watch?v=NCUYt87gVrY
Karthikeya,2014.0,"Mystery, Thriller            ","Karthikeya Official Theatrical Trailer - Nikhil Siddhartha, Swathi - HD",https://www.youtube.com/watch?v=WXzbm91D4lw
Surya vs. Surya,2015.0,Drama            ,Surya Vs Surya Theatrical Trailer | Nikhil Siddharth | Madhubala | Tridha Choudhury,https://www.youtube.com/watch?v=PX3X6dirZG0
Cinema Chupista Maava,2015.0,Family            ,Cinema Chupistha Mava | Theatrical Trailer | Raj Tarun | Avika Gor | Sai Kumar | Rao Ramesh,https://www.youtube.com/watch?v=8HLUF1ODuys
Tripura,2015.0,"Comedy, Horror            ","Tripura - Hindi Official Trailer | South Horror Thriller | Hindi Dubbed 2024 |Swathi, Naveen Chandra",https://www.youtube.com/watch?v=faLmyEZJciA
S/O Satyamurthy,2015.0,"Action, Drama            ","S/o Satyamurthy Theatrical Trailer || Allu Arjun, Upendra, Samantha, Trivikram",https://www.youtube.com/watch?v=dpnENU952gc
